tabela,n,secao,variavel,descricao,tipo,tamanho,categorias,observacao
cadastro_ies,26,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,DS_COMPLEMENTO_ENDERECO_IES,Complemento do endereço,Char,20,,
cadastro_ies,27,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_BAIRRO_IES,Bairro,Char,50,,
cadastro_ies,28,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NU_CEP_IES,CEP,Num,8,,
cadastro_ies,29,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_TOTAL,Quantidade de funcionários técnico-administrativos,Num,8,,
cadastro_ies,30,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_FUNDAMENTAL_INCOMP_FEM,Quantidade de funcionários técnico-administrativos do sexo feminino com ensino fundamental incompleto,Num,8,,
cadastro_ies,31,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_FUNDAMENTAL_INCOMP_MASC,Quantidade de funcionários técnico-administrativos do sexo masculino com ensino fundamental incompleto,Num,8,,
cadastro_ies,32,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_FUNDAMENTAL_COMP_FEM,Quantidade de funcionários técnico-administrativos do sexo feminino com ensino fundamental completo,Num,8,,
cadastro_ies,33,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_FUNDAMENTAL_COMP_MASC,Quantidade de funcionários técnico-administrativos do sexo masculino com ensino fundamental completo,Num,8,,
cadastro_ies,34,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_MEDIO_FEM,Quantidade de funcionários técnico-administrativos do sexo feminino com ensino médio,Num,8,,
cadastro_ies,35,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,QT_TEC_MEDIO_MASC,Quantidade de funcionários técnico-administrativos do sexo masculino com ensino médio,Num,8,,
